PERMNO,date,SICCD,TICKER,COMNAM,NAICS,PRC,VOL,RET,SHROUT,vwretd,ewretd,sprtrn
84788,20180131,7370,AMZN,AMAZON COM INC,454113,1450.89001,964245,0.240639,484107,0.050638,0.029441,0.056179
84788,20180228,7370,AMZN,AMAZON COM INC,454113,1512.44995,1379892,0.042429,484608,-0.039481,-0.040026,-0.038947
84788,20180329,7370,AMZN,AMAZON COM INC,454113,1447.33997,1303999,-0.043049,485000,-0.018445,0.001242,-0.026885
84788,20180430,7370,AMZN,AMAZON COM INC,454113,1566.13000,1301856,0.082075,485227,0.004692,0.008169,0.002719
84788,20180531,7370,AMZN,AMAZON COM INC,454113,1629.62000,716445,0.040539,485227,0.026164,0.034593,0.021608
84788,20180629,7370,AMZN,AMAZON COM INC,454113,1699.80005,860218,0.043065,487000,0.005365,0.002790,0.004842
84788,20180731,7370,AMZN,AMAZON COM INC,454113,1777.43994,974984,0.045676,487741,0.031604,0.006837,0.036022
84788,20180831,7370,AMZN,AMAZON COM INC,454113,2012.70996,965718,0.132365,487741,0.030233,0.019201,0.030263
84788,20180928,7370,AMZN,AMAZON COM INC,454113,2003.00000,949442,-0.004824,484000,0.000425,-0.010332,0.004294
84788,20181031,7370,AMZN,AMAZON COM INC,454113,1598.01001,1833406,-0.202192,488969,-0.074045,-0.082375,-0.069403
84788,20181130,7370,AMZN,AMAZON COM INC,454113,1690.17004,1393304,0.057672,488969,0.018512,0.000656,0.017859
84788,20181231,7370,AMZN,AMAZON COM INC,454113,1501.96997,1547997,-0.111350,488969,-0.089890,-0.099321,-0.091777
84788,20190131,7370,AMZN,AMAZON COM INC,454113,1718.72998,1340426,0.144317,491203,0.088294,0.120260,0.078684
84788,20190228,7370,AMZN,AMAZON COM INC,454113,1639.82996,809418,-0.045906,491760,0.032724,0.038572,0.029729
84788,20190329,7370,AMZN,AMAZON COM INC,454113,1780.75000,1008380,0.085936,492000,0.012962,-0.003908,0.017924
